Name,Assembly Code,MF_Number
Conveying,D10,14 00 00
"Conveying Equipment, Integrated Automation Control",D801020,25 52 00
Conveying Horizontal,D1030,
Conveying Vertical,D1010,
Conveyors,D105040,41 21 00
"Coolers, Walk-In",E103080,11 41 23
Cooling Generating Systems,D3030,
Cooling HVAC Central,D303010,23 60 00
Cooling HVAC Decentralized,D303070,23 80 00
Cooling HVAC Towers,D303010,23 65 00
Cooling HVAC Utility Connection,G305040,
"Cooling Systems, HVAC",D3030,
"Cooling Systems, HVAC Supplementary Components",D303090,
"Copiers, Office",E103075,11 28 23
Copings,---,07 71 13
Copings Horizontal Waterproofing,B304090,07 71 13
Copings Roofing,B301090,07 71 13
Copper Communications Distribution Cabling,G501030,33 82 13
Corner Guards,C109035,10 26 13
Cost Plus a Fee Method of Payment,301050,00 52 33
Cost Plus a Fee Method of Payment With a GMP,301050,
Counterflashing Systems Horizontal Waterproofing,B304090,07 71 16
Counterflashing Systems Roofing,B301090,07 71 16
Countertops,E201030,12 36 00
Covers and Shelters,G206040,10 73 00
Cranes Temporary,Z105030,01 54 19
Crematorium Equipment,E104020,11 78 16
Cribbing and Walers,A903040,31 53 00
Cubicles,C109025,10 21 23
Culverts,G303030,33 42 00
Cupolas,B302030,10 74 23
Curbs & Berms,G2010305,
Curbs and Gutters,,32 16 00
Curbs and Gutters Parking Lot,G202020,32 16 13
Curbs and Gutters Pedestrian Pavement,G203020,32 16 13
Curbs and Gutters Roadway,G201020,32 16 13
"Curbs, Roof",B302010,07 72 13
Curtain Wall Assemblies,B201040,08 44 00
Curtains and Drapes,E201020,12 22 00
"Curtains, Stage",E107010,11 61 43
Custom Elevator Cabs and Doors,D101010,14 27 00
Customer Relationship Management Software,D601050,27 25 26
Custom-Packaged Outdoor HVAC Equipment,D305050,23 75 00
"Cut and Cover, Tunnel",G901090,31 71 23
"Cutouts, Site Electrical",G401050,33 77 33
Cutting and Patching,Z107020,01 73 29
Dampproofing,,07 11 00
Dampproofing Exterior Wall,B201080,07 11 00
Dampproofing Standard Foundation,A101090,07 11 00
Dampproofing Subgrade Enclosure Wall,A201090,07 11 00
Dams Demolition,F301070,02 41 16.43
Dams Earth,G107080,36 73 13
"Darkroom Doors, Interior",C103070,08 34 36
"Darkroom Equipment, EACH",E1090550,
Darkroom Processing Equipment,E103060,11 27 13
Data Communication,D5030920,
Data Communications,D6010,27 20 00
Data Communications Desktops,D601020,07 22 23
Data Communications Firewalls,D601010,27 21 13
Data Communications Handhelds,D601020,07 22 29
Data Communications Hardware,D601020,27 22 00
Data Communications Integration Requirements,D601060,27 26 26
Data Communications Laptops,D601020,07 22 26
Data Communications Mainframes,D601020,07 22 13
Data Communications Network Equipment,D601010,27 21 00
Data Communications Network Management,D601010,27 21 29
Data Communications Peripheral Data Equipment,D601030,27 24 00
Data Communications Program and Integration Services,D601060,27 26 00
"Data Communications Routers, CSU/DSU, Multiplexers, Codecs, and Modems",D601010,27 21 16
Data Communications Servers,D601020,07 22 19
Data Communications Software,D601050,27 25 00
Data Communications Storage and Backup,D601020,07 22 16
Data Communications Switches and Hubs,D601010,27 21 29
Data Communications Wireless Access Points,D601010,27 21 33
Database Development,D601060,27 26 16
Database Software,D601050,27 25 33
Daylight Dimming System,D5020290,
"Deadend Structures, Site Electrical",G401030,33 72 13
Deaerators,D302010,23 53 16
Deal Drawers,E104060,11 18 13
Decentralized-HVAC,,23 80 00
Decentralized-HVAC Cooling,D303070,23 80 00
Decentralized-HVAC Heating,D302070,23 80 00
Deck & Joists on Bearing Walls,B1010246,
Deck Insulation,,07 20 00
Deck Insulation Horizontal Waterproofing,B304090,07 20 00
Deck Insulation Roofing,B301090,07 20 00
"Decks, Slabs, and Sheathing, Roof",B102020,
"Decks, Slabs, and Toppings, Floor",B101020,
Decontamination Biological,G105025,02 54 00
Decontamination Chemical,G105015,02 52 00
Decontamination Equipment,E109060,
Decontamination Physical,G105010,02 51 00
Decontamination Thermal,G105020,02 53 00
Decorative Landscape Boulders,G208050,
Decorative Metal,,05 70 00
Decorative Metal Exterior Fabrications,B208070,05 70 00
Decorative Metal Exterior Fixed Grilles and Screens,B208010,05 70 00
Decorative Metal Fences and Gates,G206020,32 31 19
Decorative Metal Interior,C2020,05 70 00
Decorative Metal Railings,,05 73 00
Decorative Metal Railings Exterior Balcony,B208050,05 73 00
Decorative Metal Railings Interior,C109010,05 73 00
Decorative Metal Railings Stair,B108050,05 73 00
Decorative Metal Stairs,B108010,05 71 00
Decorative Towers,F102070,
Decorative Water Curtains,F105030,
Dedicated 911 Systems,D602050,27 35 23
Definitions,Z104030,01 42 16
Deluge Fire-Suppression Sprinkler Systems,D401010,21 13 26
Deluge Sprinkler Systems,D4010370,
Demobilization,Z107060,
Demolition,F30,02 41 00
Demolition Selective,F3030,02 41 19
Demonstration and Training,Z107080,01 79 00
Demountable Athletic Surfaces,F106060,13 28 66
Demountable Composite Partitions,C101040,10 22 19.43
Demountable Gypsum Partitions,C101040,10 22 19.53
Demountable Metal Partitions,C101040,10 22 19.13
"Demountable Partitions, Interior",C101040,10 22 19
"Demountable Partitions, LF",C1010230,
Demountable Plastic Partitions,C101040,10 22 19.33
Demountable Wood Partitions,C101040,10 22 19.23
Dental Equipment,E104020,11 74 00
Derricks,D105030,41 22 33
Design Contingencies,Z905010,
Design Contingencies Budget,208010,01 21 16
Design Data,Z102050,01 33 16
Design Loads,103040,
Design Professionals,203020,
Design-Bid Build,301010,
Design-Build,,00 52 56
Design-Build,301010,00 52 53
Design-Build,,00 72 56
Design-Build,,00 72 53
Design-Negotiate Build,301010,
Detection and Alarm,D7050,28 30 00
Detection and Alarm Fire,D705010,28 31 00
Detection and Alarm Fuel-Gas,D705030,28 33 00
Detection and Alarm Fuel-Oil,D705040,28 34 00
Detection and Alarm Radiation,D705020,28 32 00
Detection and Alarm Refrigeration,D705050,28 35 00
Detection and Alarm Water Intrusion,D705060,23 36 00
Detection Intrusion,D701050,28 16 00
Detection Security Access,D701010,28 13 53
Detection Sensors,D705050,
Detention Cell Modules,F101010,13 42 63
"Detention Doors, Exterior",B205040,08 34 63
"Detention Doors, Interior",C103070,08 34 63
Detention Equipment,E104070,11 19 00
"Detention Equipment, EACH",E1020610,
Detention Facility Special Procedures,Z102070,01 35 13.16
Detention Furniture,E205030,12 55 00
Detention Gun Lockers,E104070,11 19 16
Detention Lighting,D504050,26 55 23
Detention Pass-Through Doors,E104070,11 19 13
Detention Windows,,08 56 63
Detention Windows Exterior,B202050,08 56 63
Detention Windows Interior,C102050,08 56 63
Diesel Fuel,G306040,
"Diesel Fuel Distribution, Site",G306040,33 52 19
"Diesel Fuel Piping, Site",G306040,33 52 19.13
"Diesel Fuel Pumps, Site",G306040,33 52 19.23
"Diesel Fuel Storage Tanks, Site",G306040,33 56 00
Digital Addressable Fire-Alarm Systems,D705010,28 31 11
Digital Video Recorders and Analog Recording Devices,D703010,28 23 19
Digital Voice Announcers,D602050,27 35 13
"Direct Current Transmission, Site Electrical",G401020,33 71 53
Directories,C109020,10 13 00
Disaster Recovery Equipment,D601030,27 24 29
Discreet-Distributed Intelligence Detention Monitoring and Control Systems,D707010,28 46 29
Discreet-Logic Detention Monitoring and Control Systems,D707010,28 46 26
"Dishwashers, Commercial",E103080,11 48 13
Disinfecting of Site Water Distribution,G301010,33 13 00
Display Cases,C109020,10 12 00
Display Cases,C109020,
Display Casework,E201030,12 35 59
Display Casework,E201030,
"Display Equipment, Refrigerated",E103030,11 22 00
"Display Equipment, Refrigerated",E103030,
Display Lighting,D504050,26 55 59
Display Lighting,D504050,
Display Turntables,D103030,14 73 59
"Disposers, Residential",D201060,22 41 26
Lightning Protection,,26 41 00
Lightning Protection Dissipation,D508010,26 41 16
Distributed Audio-Video,D606010,
Distributed Communications and Monitoring,D6060,27 50 00
Distributed Systems,D606050,27 53 00
"Distribution Systems, HVAC",D3050,
"Distribution Systems, HVAC Supplementary Components",D305090,
"Distribution, Site",G3060,
Domestic Water Distribution,D2010,22 11 00
Domestic Water Distribution,D2020,
Domestic Water Distribution Equipment,D201020,
Domestic Water Distribution Filtration Equipment,D201020,22 32 00
Domestic Water Distribution Heat Exchangers,D201020,22 35 00
Domestic Water Distribution Heaters,D201020,
Domestic Water Distribution Piping,D201040,22 11 16
Domestic Water Distribution Piping Specialties,D201040,22 11 19
Domestic Water Distribution Pumps,D201020,22 11 23
Domestic Water Distribution Site,G301010,
Domestic Water Distribution Softeners,D201020,22 31 00
Domestic Water Distribution Supplementary Components,D201090,
Domestic Water Heaters,D201020,
Door and Frame Protection,C109035,10 26 33
Door Frames,,08 10 00
Door Frames Exterior,B205090,08 10 00
Door Frames Interior,C103090,08 10 00
"Doors and Grilles, Exterior",B2050,
Doors,,08 10 00
Doors Exterior,B2050,08 10 00
Doors Interior,C1030,08 10 00
Dormitory Furniture,E205030,12 56 43
Dormitory Unit Modules,F101010,13 42 43
"Double Span, Steel Deck",B1020132,
Downspouts,B302070,07 71 23
Downspouts,B3010620,
Drainage & Sewage Piping,G3020110,33 36 33
Drainage Field,G302040,
Drainage Foundation,A601010,33 46 13
"Drainage Layers, Site",G303060,33 46 23
Drainage Underslab,A601020,33 46 19
Drains Area,D203030,22 14 26.13
Drains Facility Stormwater,D203030,22 14 26
Drains Roof,D203030,22 14 26.16
Drains Sanitary,D202030,22 13 19.13
Drains Site Storm Drainage,G303040,33 44 00
Drains Trench,D203030,22 14 26.19
"Drench Hoses, Hand-Held Emergency",D201060,22 45 29
"Drilling and Blasting, Tunnel",G901090,31 71 16
Drinking Fountain Systems,D2010810,
Drinking Fountains,D201060,22 47 13
Drip Irrigation,G208010,32 84 13
Driven Piles,A102010,31 62 00
Dry Cleaning Equipment,E103035,11 23 13
Dry Pipe Sprinkler Systems,D4010310,21 13 16
"Dry Standpipe Risers Class I, Dry Standpipe Risers Class II, Dry Standpipe Risers Class III",D4020330,
Dry-Chemical Fire-Extinguishing Systems,D401050,21 24 00
Drying and Conditioning Equipment,E103035,11 23 16
Dry-Pipe Sprinkler Systems,D401010,21 13 16
"Drywall Ceilings, Plaster Ceiling Components",C3030110,
Drywall Components,C1010128,
Drywall Partitions/Metal Stud Framing,C1010126,
Drywall Partitions/Wood Stud Framing,C1010124,
"Duct Accessories, HVAC",,23 33 00
Duct Accessories,D306030,
"Duct Accessories, HVAC Air",D305050,23 33 00
"Duct Accessories, HVAC Exhaust Air",D306030,23 33 00
"Duct Accessories, HVAC Outside Air",D306040,23 33 00
"Duct Accessories, HVAC Return Air",D306020,23 33 00
"Duct Accessories, HVAC Supply Air",D306010,23 33 00
"Ducts and Casings, Air",,23 31 00
"Ducts and Casings, Air Exhaust Air",D306030,23 31 00
"Ducts and Casings, Air HVAC",D305050,23 31 00
"Ducts and Casings, Air Outside Air",D306040,23 31 00
"Ducts and Casings, Air Return Air",D306020,23 31 00
"Ducts and Casings, Air Supply Air",D306010,23 31 00
"Ducts, Electrical Branch Wiring",D503010,26 05 43
"Ducts, Electrical Electrical Distribution",D502030,26 05 43
"Ducts, Electrical Lighting Branch Wiring",D504020,26 05 43
Dumbwaiters,D101050,14 10 00
"Dust Barriers, Temporary",Z105040,01 56 16
Dwelling Unit Modules,F101010,13 42 33
Early Streamer Emission Lightning Protection,D508010,26 41 19
Earth Dams,G107080,35 73 13
Earth Movement Monitoring,F108060,
Earth Stripping and Stockpiling,G101050,31 14 00
"Earthwork, Site",G1070,31 20 00
"Ecclesiastical Equipment, EACH 411",E1020110,
"Ecclesiastical Equipment, LF",E1020130,
Educational and Scientific Equipment,E104010,11 50 00
Educational Casework,E201030,12 35 50
Educational Furniture,E205030,
EIFS Exterior Walls,B2010152,07 24 00
Elastomeric Liquid Flooring,C203070,09 67 13
Electric Baseboard Radiation (Low Density),D5090510,
Electric Baseboard Radiation (Medium Density),D5090520,
"Electric Distribution Systems,Site",G4010,
Electric Domestic Water Heaters,D201020,22 33 00
Electric Heating Boilers,D302010,23 52 13
Electric Traction Elevators,D101010,14 21 00
Electric Traction Elevators Freight,D101010,14 21 13
Electric Traction Elevators Passenger,D101010,14 21 23
Electric Traction Elevators Residential,D101010,14 21 33
Electric Traction Elevators Service,D101010,14 21 43
"Electric Transmission and Distribution, Site","G401020
D50",33 71 00
Electric Water Heaters - Commercial Systems,D2020240,
Electrical,D50,26 00 00
Electrical Cabinets and Enclosures,D502030,26 27 16
Electrical Distribution Equipment,D502030,26 27 00
Electrical Distribution System Instrumentation and Controls,G401090,33 09 70
Electrical Integrated Audio-Video Systems and Equipment,D603010,
Electrical Service,D502010,26 21 00
Electrical Service and Distribution,D5020,
Electrical Service and Distribution Supplementary Components,D502090,
Electrical Service/Distribution,D5010,
Electrical Site Improvements,G40,
"Electrical Substations, Site",G401030,33 72 00
"Electrical Switchgear and Protection Devices, Site",G401050,33 75 00
"Electrical Switchgear and Protection Devices, Site",,33 77 00
"Electrical Systems, Integrated Automation Control Transformers, Site","D801060
G401040",25 56 00
"Electrical Utility Poles, Site",G401020,33 71 16
"Electrical Utility Services, Site",G401010,33 71 73
"Electrical Utility Towers, Site",G401020,33 71 13
Electrical Wiring System,D502030,
"Electricity Metering, Facility",D502010,26 16 00
Electricity Temporary,Z105010,01 51 13
Electromagnetic Field Protection,F103050,
Electromagnetic Interference Filters,D501060,26 35 23
Electronic Air Cleaners,D305050,23 43 00
Electronic Communication Protocols,Z102010,01 31 13
Electronic Control Digital Systems,D603050,27 42 00
Electronic Detention Monitoring and Control,D707010,23 46 00
Electronic Monitoring and Control,D7070,28 46 00
Electronic Surveillance,D7030,28 20 00
Electronic Personal Protection,D703050,28 26 00
Electronic Personal Protection Safety Alarm Annunciation and Control Systems,"D703050
D703050",28 26 16
Electronic Personal Protection Safety Detection Systems,D703050,28 26 13
Electronic Personal Protection Safety Emergency Aid Devices,D703050,28 26 23
Electronic Personal Protection Safety Interfaces to Remote Monitoring,D703050,28 26 19
Electronic Safety and Security,D70,28 00 00
Electronic Safety and Security Supplementary Components,D709010,
Elevating Platforms,D108030,14 83 00
Elevators,D101010,14 20 00
Elevators and Lifts,D1010,
Elevators Equipment and Controls,D101010,14 28 00
Elevators Linen Chutes,D105060,
Elevators Telephones,D602020,27 32 23
Elevators Temporary,Z105030,01 54 13
Email Software,D601050,27 25 19
Embankments,G107030,31 24 00
Emergency Access and Information Cabinets,C109060,10 41 00
Emergency Aid Specialties,C109060,10 43 00
Emergency Fixture Water-Tempering Equipment,D201060,22 45 36
Emergency Lighting,D504050,26 52 00
Emergency Plumbing Fixtures,D201060,22 45 00
Emergency Safety Appliances,E104010,11 53 33
Enclosure Door Exterior,B205090,
Enclosures Traffic Bearing Horizontal,B3040,
"Enclosures Energy Distribution, Site",G3050,
Enclosures Exterior Horizontal,B30,
Enclosures Exterior Vertical,B20,
Enclosures Subgrade,A20,
Enclosures Overhead Exterior,B3080,
CIP Concrete Enclosures Subgrade,A201010,03 30 00
Energy Monitoring Systems,D5090480,
Energy Supply,D3010,
Engine Exhaust Systems,D306030,23 35 16
Engine Generators,D501010,26 32 13
Engineered Control of Asbestos Containing Materials,F201020,02 82 16
 Entertainment and Recreational Equipment,"
E1070",
Entertainment Turntables,D103030,14 74 00
Entrance Doors,,08 42 00
Entrance Doors Exterior,B205010,08 42 00
Entrance Doors Interior,C103020,08 42 00
Entrance Flooring,C2030.85,
Entrance Flooring Gratings,C203085,12 48 19
Entrance Flooring Grids,C203085,12 48 23
Entrance Flooring Grilles,C203085,12 48 16
Entrance Flooring Mats and Frames,C203085,12 48 13
Entrance Tile,C203085,12 48 26
Environmental Assessment Information,304040,00 31 24
"Environmental Controls, Temporary",Z105050,01 57 19
Environmental Procedures,Z102070,01 35 43
"Environmental Requirements, Facility",103053,01 81 16
Epoxy-Marble Chip Flooring,C203070,09 67 16
Equipment,E10,11 00 00
Equipment Screens,B201060,
Euipment Site,G206050,
